Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012063	0.5	1.74	-6.345	0.24390956	0	-1.824	-6.345	0.24390956	81	390	-6.345	-0.00580354	2.79886388	10	1	-999	-999
2012063	1	0.7816669	-7.395	0.179664399	0	0	-7.395	0.179664399	81	390	-7.395	-0.504919322	2.797788958	10	1	-999	-999
2012063	1.5	0.6999999	-7.788	0.158995534	0	-0.912	-7.788	0.158995534	81	390	-7.788	-0.695337781	2.796664232	10	1	-999	-999
2012063	2	0.7466667	-8.49	0.141319136	0	0	-8.49	0.141319136	81	390	-8.49	-1.03201565	2.795504175	10	1	-999	-999
2012063	2.5	1.175	-8.39	0.147504577	0	0	-8.39	0.147504577	81	390	-8.39	-0.992228164	2.794308991	10	1	-999	-999
2012063	3	1.151667	-8.05	0.194923532	0	0	-8.05	0.194923532	81	390	-8.05	-0.839278286	2.793191385	10	1	-999	-999
2012063	3.5	1.17	-7.627	0.228501751	0	-0.912	-7.627	0.228501751	81	390	-7.627	-0.646860028	2.792124278	10	1	-999	-999
2012063	4	0.7949998	-8.61	0.200886614	0	-0.912	-8.61	0.200886614	81	390	-8.61	-1.11601602	2.790894268	10	1	-999	-999
2012063	4.5	0.9633332	-9.15	0.173949832	0	0	-9.15	0.173949832	81	390	-9.15	-1.377092088	2.789622551	10	1	-999	-999
2012063	5	0.7850001	-9.78	0.127677343	0	0	-9.78	0.127677343	81	390	-9.78	-1.680309786	2.788261863	10	1	-999	-999
2012063	5.5	0.8283335	-10.54	0.09553695	0	0	-10.54	0.09553695	81	390	-10.54	-2.044931984	2.786741942	10	1	-999	-999
2012063	6	0.9166666	-10.83	0.083865272	0	0	-10.83	0.083865272	81	390	-10.83	-2.189149505	2.785229046	10	1	-999	-999
2012063	6.5	1.025	-10.86	0.084679436	0	16.416	-10.86	0.084679436	81	390	-10.86	-2.211532963	2.783675748	10	1	-999	-999
2012063	7	5	-10.35	0.096785041	0	135.888	-10.35	0.096785041	81	390	-10.35	-1.979680586	2.782300841	10	1	-999	-999
2012063	7.5	1.168333	-9.08	0.120790606	0	315.552	-9.08	0.120790606	81	390	-9.08	-1.389141783	2.781024939	10	1	-999	-999
2012063	8	1.763333	-7.865	0.157006049	0	538.08	-7.865	0.157006049	81	390	-7.865	-0.824573938	2.77985534	10	1	-999	-999
2012063	8.5	1.92	-6.735	0.193066558	0	766.08	-6.735	0.193066558	81	390	-6.735	-0.3010054	2.77876965	10	1	-999	-999
2012063	9	1.13	-5.098	0.240833914	0	975.84	-5.098	0.240833914	81	390	-5.098	0.461759857	2.777940651	10	1	-999	-999
2012063	9.5	1.063333	-3.813	0.276841032	0	1181.952	-3.813	0.276841032	81	390	-3.813	1.059266144	2.777090721	10	1	-999	-999
2012063	10	1.195	-3.37	0.290477391	0	1353.408	-3.37	0.290477391	81	390	-3.37	1.259914608	2.776204418	10	1	-999	-999
2012063	10.5	1.33	-2.82	0.302113645	0	1471.056	-2.82	0.302113645	81	390	-2.82	1.51068432	2.775315459	10	1	-999	-999
2012063	11	1.468333	-1.792	0.335992089	0	1575.024	-1.792	0.335992089	81	390	-1.792	1.986050163	2.77450183	10	1	-999	-999
2012063	11.5	1.526667	-0.595	0.382926657	0	1629.744	-0.595	0.382926657	81	390	-0.595	2.54144125	2.773734216	10	1	-999	-999
2012063	12	1.645	0.535	0.425806639	0	1692.672	0.535	0.425806639	81	390	0.535	3.066249996	2.7731162	10	1	-999	-999
2012063	12.5	1.41	1.605	0.473729403	0	1699.968	1.605	0.473729403	81	390	1.605	3.562892213	2.772613529	10	1	-999	-999
2012063	13	1.613333	2.173	0.503259397	0	1679.904	2.173	0.503259397	81	390	2.173	3.823299724	2.772184962	10	1	-999	-999
