Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
R500,WW,2,1,27.4,37.3,133,post
R500,WW,NA,NA,27.4,37.3,135,PD
R500,WW,NA,NA,27.55,37.45,135,MD
R500,D1,3,2,27.6,37.5,129,post
R500,D2,3,2,27.6,37.5,131,pre
CC,WW,NA,NA,27.65,37.55,134,PD
CC,D1,NA,NA,27.65,37.55,138,Recovery
CC,WW,2,3,27.7,37.6,129,post
R500,D1,1,1,27.7,37.6,131,pre
CC,WW,2,2,27.7,37.6,133,post
R500,D1,1,2,27.8,37.7,128,pre
R500,D2,NA,NA,27.9,37.8,142,MD
R500,D1,3,3,28,37.9,129,post
R500,WW,2,3,28,37.9,129,post
CC,D2,3,1,28,37.9,129,post
R500,WW,2,3,28,37.9,130,pre
CC,D2,NA,NA,28,37.9,138,MD
CC,D1,NA,NA,28.1,38,138,Recovery
R500,WW,2,2,28.2,38.1,129,post
R500,WW,2,2,28.2,38.1,130,pre
R500,D2,3,3,28.2,38.1,133,post
R500,D1,NA,NA,28.25,38.15,138,MD
R500,D1,2,1,28.3,38.2,129,post
CC,D2,3,3,28.4,38.3,129,post
CC,D2,3,3,28.4,38.3,132,pre
R500,WW,1,2,28.4,38.3,133,post
R500,D2,NA,NA,28.4,38.3,142,PD
R500,D1,1,2,28.6,38.5,129,post
R500,D2,3,2,28.6,38.5,129,post
CC,D1,NA,4,28.7,38.6,137,recovery
R500,WW,NA,NA,28.7,38.6,138,MD
R500,D2,NA,NA,28.75,38.65,142,PD
R500,WW,NA,NA,28.85,38.75,134,PD
CC,D2,2,3,29,38.9,129,post
CC,WW,NA,NA,29.05,38.95,131,PD
CC,D2,2,1,29.1,39,129,post
R500,D1,NA,NA,29.2,39.1,138,MD
R500,D2,NA,NA,29.25,39.15,142,MD
R500,D2,3,3,29.3,39.2,129,post
R500,WW,NA,NA,29.35,39.25,138,PD
R500,D1,1,3,29.4,39.3,129,post
CC,D2,3,2,29.4,39.3,129,post
R500,D2,NA,NA,29.4,39.3,142,PD
R500,WW,NA,NA,29.45,39.35,138,MD
